"name"	"references_link"	"references_type"	"references_resource"	"references_id"	"references_annotatorClassName"	"description"	"bloodBrainBarrier"	"brandNames"	"synonyms"	"id"	"targets_name"	"targets_targetParticipants_link"	"targets_targetParticipants_type"	"targets_targetParticipants_resource"	"targets_targetParticipants_id"	"targets_targetParticipants_annotatorClassName"
"ILORASERTIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1980297"	0	""	NA	"N/A"	""	"A-968660|A-968660.0|ABBOTT-968660|ABT-348|ABT-348|ABT-348, A-968660|Ilorasertib|ILORASERTIB|ILORASERTIB"	"ILORASERTIB"	"SRC"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"ILORASERTIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1980297"	0	""	NA	"N/A"	""	"A-968660|A-968660.0|ABBOTT-968660|ABT-348|ABT-348|ABT-348, A-968660|Ilorasertib|ILORASERTIB|ILORASERTIB"	"ILORASERTIB"	"SRC"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"ILORASERTIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1980297"	0	""	NA	"N/A"	""	"A-968660|A-968660.0|ABBOTT-968660|ABT-348|ABT-348|ABT-348, A-968660|Ilorasertib|ILORASERTIB|ILORASERTIB"	"ILORASERTIB"	"SRC"	NA	"HGNC_SYMBOL"	"SRMS"	0	""
"ILORASERTIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1980297"	0	""	NA	"N/A"	""	"A-968660|A-968660.0|ABBOTT-968660|ABT-348|ABT-348|ABT-348, A-968660|Ilorasertib|ILORASERTIB|ILORASERTIB"	"ILORASERTIB"	"Platelet-derived growth factor receptor"	NA	"HGNC_SYMBOL"	"PDGFRB"	0	""
"ILORASERTIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1980297"	0	""	NA	"N/A"	""	"A-968660|A-968660.0|ABBOTT-968660|ABT-348|ABT-348|ABT-348, A-968660|Ilorasertib|ILORASERTIB|ILORASERTIB"	"ILORASERTIB"	"Platelet-derived growth factor receptor"	NA	"HGNC_SYMBOL"	"PDGFRA"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Epidermal growth factor receptor erbB1"	NA	"HGNC_SYMBOL"	"EGFR"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Tyrosine-protein kinase FYN"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Tyrosine-protein kinase LCK"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Tyrosine-protein kinase Lyn"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Tyrosine-protein kinase SRC"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Vascular endothelial growth factor receptor 3"	NA	"HGNC_SYMBOL"	"FLT4"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Tyrosine-protein kinase YES"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Receptor protein-tyrosine kinase erbB-4"	NA	"HGNC_SYMBOL"	"ERBB4"	0	""
"JNJ-26483327"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545133"	0	""	NA	"N/A"	""	"JNJ 26483327|JNJ-26483327|JNJ-26483327"	"JNJ-26483327"	"Receptor protein-tyrosine kinase erbB-2"	NA	"HGNC_SYMBOL"	"ERBB2"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"BLK"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"HCK"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"SRC"	NA	"HGNC_SYMBOL"	"SRMS"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"Ephrin type-B receptor 4"	NA	"HGNC_SYMBOL"	"EPHB4"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"Fibroblast growth factor receptor 1"	NA	"HGNC_SYMBOL"	"FGFR1"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"Fibroblast growth factor receptor 2"	NA	"HGNC_SYMBOL"	"FGFR2"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"Platelet-derived growth factor receptor beta"	NA	"HGNC_SYMBOL"	"PDGFRB"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"Vascular endothelial growth factor receptor 1"	NA	"HGNC_SYMBOL"	"FLT1"	0	""
"TG100-801"	NA	"CHEMBL_COMPOUND"	"CHEMBL403989"	0	""	NA	"N/A"	""	"TG100-801|TG100-801"	"TG100-801"	"Vascular endothelial growth factor receptor 2"	NA	"HGNC_SYMBOL"	"KDR"	0	""
"Triglyme"	NA	"DRUGBANK"	"DB02078"	0	""	"Triethylene glycol dimethyl ether (also called triglyme) is a glycol ether used as a solvent."	"N/A"	""	"dimethyl ether of triethylene glycol|Glyme 4|1,2-bis(2-methoxyethoxy)ethane|1-methoxy-2-[2-(2-methoxyethoxy)ethoxy]ethane"	"Triglyme"	"Profilin-2"	NA	"HGNC_SYMBOL"	"PFN2"	0	""
"Triglyme"	NA	"DRUGBANK"	"DB02078"	0	""	"Triethylene glycol dimethyl ether (also called triglyme) is a glycol ether used as a solvent."	"N/A"	""	"dimethyl ether of triethylene glycol|Glyme 4|1,2-bis(2-methoxyethoxy)ethane|1-methoxy-2-[2-(2-methoxyethoxy)ethoxy]ethane"	"Triglyme"	"Tyrosine-protein kinase Fyn"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"Triglyme"	NA	"DRUGBANK"	"DB02078"	0	""	"Triethylene glycol dimethyl ether (also called triglyme) is a glycol ether used as a solvent."	"N/A"	""	"dimethyl ether of triethylene glycol|Glyme 4|1,2-bis(2-methoxyethoxy)ethane|1-methoxy-2-[2-(2-methoxyethoxy)ethoxy]ethane"	"Triglyme"	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"	NA	"HGNC_SYMBOL"	"PPIF"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"Tyrosine-protein kinase ABL"	NA	"HGNC_SYMBOL"	"ABL1"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"Insulin-like growth factor I receptor"	NA	"HGNC_SYMBOL"	"IGF1R"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"BLK"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"HCK"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"XL-228"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545085"	0	""	NA	"N/A"	""	"EXEL-2280|XL228|XL-228"	"XL-228"	"SRC"	NA	"HGNC_SYMBOL"	"SRMS"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Tyrosine-protein kinase ABL"	NA	"HGNC_SYMBOL"	"ABL1"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Platelet-derived growth factor receptor beta"	NA	"HGNC_SYMBOL"	"PDGFRB"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Stem cell growth factor receptor"	NA	"HGNC_SYMBOL"	"KIT"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Ephrin type-A receptor 2"	NA	"HGNC_SYMBOL"	"EPHA2"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"BLK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"HCK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"SRMS"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Bcr/Abl fusion protein"	NA	"HGNC_SYMBOL"	"ABL1"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Bcr/Abl fusion protein"	NA	"HGNC_SYMBOL"	"BCR"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase ABL1"	NA	"HGNC_SYMBOL"	"ABL1"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Proto-oncogene tyrosine-protein kinase Src"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Ephrin type-A receptor 2"	NA	"HGNC_SYMBOL"	"EPHA2"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Lck"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Yes"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Mast/stem cell growth factor receptor Kit"	NA	"HGNC_SYMBOL"	"KIT"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Platelet-derived growth factor receptor beta"	NA	"HGNC_SYMBOL"	"PDGFRB"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Signal transducer and activator of transcription 5B"	NA	"HGNC_SYMBOL"	"STAT5B"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Abelson tyrosine-protein kinase 2"	NA	"HGNC_SYMBOL"	"ABL2"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Fyn"	NA	"HGNC_SYMBOL"	"FYN"	0	""
